num	abbrev	state	FIPS	xcenter	ycenter
0	AK	Alaska	2	-9.81492	-9.62468
1	AL	Alabama	1	10.4555	-3.80278
2	AR	Arkansas	5	5.02079	-2.19402
3	AZ	Arizona	4	-12.5999	-1.92924
4	CA	California	6	-19.2904	2.28853
5	CO	Colorado	8	-6.62023	2.49921
6	CT	Connecticut	9	20.7542	8.07547
7	DC	District of Columbia	11	17.9842	4.16137
8	DE	Delaware	10	19.223	4.47877
9	FL	Florida	12	15.9283	-8.28571
10	GA	Georgia	13	13.5131	-3.69607
11	HI	Hawaii	15	-17.3494	-9.68511
12	IA	Iowa	19	3.5847	5.76798
13	ID	Idaho	16	-13.5188	8.41582
14	IL	Illinois	17	7.2035	4.02627
15	IN	Indiana	18	9.93243	3.96398
16	KS	Kansas	20	-0.573258	1.70432
17	KY	Kentucky	21	11.2944	1.41104
18	LA	Louisiana	22	5.14024	-6.40163
19	MA	Massachusetts	25	20.9048	9.00243
20	MD	Maryland	24	17.8763	4.63722
21	ME	Maine	23	22.1257	12.8034
22	MI	Michigan	26	10.4893	7.65383
23	MN	Minnesota	27	2.48059	10.5104
24	MO	Missouri	29	4.65408	1.69159
25	MS	Mississippi	28	7.61054	-4.25113
26	MT	Montana	30	-9.11796	11.829
27	NC	North Carolina	37	16.556	0.192857
28	ND	North Dakota	38	-1.98308	11.6896
29	NE	Nebraska	31	-1.50856	5.09846
30	NH	New Hampshire	33	20.9165	10.4224
31	NJ	New Jersey	34	19.6162	5.57754
32	NM	New Mexico	35	-7.51238	-2.33745
33	NV	Nevada	32	-16.0453	4.56209
34	NY	New York	36	18.1311	8.94823
35	OH	Ohio	39	12.7727	4.64999
36	OK	Oklahoma	40	0.517053	-1.53839
37	OR	Oregon	41	-18.0986	10.0364
38	PA	Pennsylvania	42	16.6574	6.19923
39	PR	Puerto Rico	43	33.3477	-16.0743
40	RI	Rhode Island	44	21.6447	8.38526
41	SC	South Carolina	45	15.6298	-1.9652
42	SD	South Dakota	46	-2.05672	8.34405
43	TN	Tennessee	47	10.2784	-0.648677
44	TX	Texas	48	-1.13583	-6.05218
45	UT	Utah	49	-11.8572	3.33808
46	VA	Virginia	51	16.9151	2.39728
47	VT	Vermont	50	19.848	11.0448
48	WA	Washington	53	-16.7923	13.8286
49	WI	Wisconsin	55	6.18405	8.83004
50	WV	West Virginia	54	14.7428	3.22697
51	WY	Wyoming	56	-7.83821	7.20587
