customer    state   income
1            PA      55000
2            NY      50000
3            NJ      60000
4            CT      34000
5            CT      53000
6            PA      39000
7            NJ      21000
8            NJ      44000
9            NY      47000
10           NY      82000
11           PA      30000
12           CT      84000
13           CT      22000  
14           PA      23000
15           NJ      28000
16           PA      20000
17           NY      33000
18           CT      31000 
19           NJ      24000
20           PA      29000 
