FIPS.STATE	STUB.GEO	P0010001	P0040001	P0050001	P0060001	P0060002	P0060003	P0060004	P0070001	P0070002	P0130001	P0130002	P0130003	P0130004	P0130005	P0130006	P0130007	P0130008	P0130009	P0130010	P0130011	P0130012	P0130013	P0130014	P0130015	P0130016	P0130017	P0130018	P0130019	P0130020	P0130021	P0130022	P0130023	P0130024	P0130025	P0130026	P0130027	P0130028	P0130029	P0130030	P0130031	P0160001	P0160002	P0160003	P0160004	P0160005	P0160006	P0160007	P0800001	P0800002	P0800003	P0800004	P0800005	P0800006	P0800007	P0800008	P0800009	P0800010	P0800011	P0800012	P0800013	P0800014	P0800015	P0800016	P0800017	P0800018	P0800019	P0800020	P0800021	P0800022	P0800023	P0800024	P0800025	P080A001	P0810001	P0810002	P0890001	P0890002	P0900001	P0900002	P1120001	P1120002	P1120003	P1120004	H0010001	H0040001	H0040002	H0050001	H0050002	H0050003	H0050004	H0080001	H0080002	H0230001	H0230002	H0230003	H0230004	H0300001	H0300002	H0300003	H0300004	H0300005	H0300006	H0300007	H0300008	H0300009
01	Alabama	4040587	1111139	1506009	1839901	597814	59349	1543523	1935936	2104651	48161	119496	113128	58332	58218	179403	122816	120182	56361	60961	59998	62945	64978	70749	66180	59648	173062	318915	333551	305477	279822	225765	196800	181109	70056	111868	169114	134249	104727	66672	47844	354918	478471	284277	237174	99577	32458	19134	159594	178304	87687	73372	80452	69295	77582	60915	68890	55259	66054	46312	52327	40353	46500	32960	34693	27921	53863	40469	74358	44820	15298	6217	12514	23597	42479433220	3429061553	1166528	339481	1128375	377634	157812	339996	492481	120850	1670379	1506790	163589	763429	250100	22138	634712	1062148	444642	1454160	170898	30207	15114	645054	235062	521322	17393	4179	80047	333	1355	2045
02	Alaska	550043	134806	189700	221745	149118	1160	178020	289875	260168	9634	23196	21788	10867	10622	30116	18603	16680	7641	7502	7254	7785	7034	7421	8281	7806	24384	52882	60592	57583	44907	33655	22371	16574	5446	7260	9443	5984	3566	2056	1110	41510	54822	34314	33073	15991	6098	3892	6631	9152	6156	5972	6229	5900	6870	6140	6952	6080	6924	5917	6414	5836	6529	5268	5890	5185	10428	8235	21756	20626	7870	2903	3837	41408	8484007466	922630879	175159	14541	168853	20847	7481	35922	74191	17212	232608	188915	43693	91639	57252	341	83376	106000	82915	152550	52697	3419	23942	80775	3637	22326	60926	3198	14570	56	2533	894
04	Arizona	3665228	949418	1371885	2656388	550687	6967	451186	1807996	1857232	51113	122831	116478	58022	55154	167764	107077	102279	50360	48420	50105	49180	52213	58661	57687	54981	161726	319124	320578	283574	246618	194432	160279	145054	60264	94054	160418	129759	93917	56304	36802	335745	475924	212912	184414	92198	40827	29865	89648	123594	72815	63125	72759	65428	73073	58268	66389	52838	64229	44879	53570	40449	47962	32939	36117	28488	55095	42324	84977	56045	21586	8433	16855	27540	43997172190	4603147448	1078808	293077	1038209	333676	156403	278130	412984	101901	1659430	1368843	290587	1196319	241236	2475	219400	879000	489843	1568614	71562	5667	13587	541257	60757	704206	2791	2277	49827	1572	1041	5115
05	Arkansas	2350725	656465	891665	591609	666589	63589	1028938	1132228	1218497	28136	69391	66533	34973	33602	106755	71275	70499	34734	34771	35392	35207	35883	37924	35472	32322	91706	178193	183075	169816	158581	131176	112920	104519	41858	66196	107064	89821	71399	46825	34707	212166	301328	159200	134238	55435	18627	10671	91721	118433	60519	50307	54098	47162	51404	41553	43289	34441	38371	27684	28069	22660	24622	18128	17439	13716	25694	17377	31541	17524	6796	2997	6120	21147	22772461212	1639307451	669242	222423	635864	255801	107088	191118	292283	65976	1000667	891179	109488	253874	283989	24501	438303	620077	271102	815155	154969	19695	10848	470320	103366	202634	1669	93	111092	261	979	765
06	California	29760021	7218877	10399700	25465911	2105967	150535	2037608	14881551	14878470	423584	1018750	934140	466032	444875	1321036	828763	783581	374667	378312	376123	389616	420097	464195	495954	486733	1458064	2856100	2883193	2491198	2155617	1644915	1311066	1129239	441470	660842	1055906	809511	595559	372438	288445	2416267	3219779	1724477	1527453	793257	359349	359118	403714	793789	408399	363356	409665	364656	442148	360051	425843	336327	451196	316867	387832	294080	386936	265837	311439	242023	526477	416669	965926	792419	335271	140613	258167	35798	410589381333	70364452113	8612467	1787233	8232936	2166764	890261	2058118	3235079	1035419	11182882	10381206	801676	9457515	817910	51541	855916	5774899	4606307	10668942	432689	31932	49319	7599735	321111	1996897	26427	598	321401	13399	17789	83849
08	Colorado	3294394	861828	1285119	2377886	337863	45118	533527	1630346	1664048	42437	105219	103752	50294	50678	152056	94950	89963	43408	43155	41989	42085	45049	50685	49805	46400	135397	288687	328745	304695	266200	192598	147757	128808	49607	71609	110924	83708	61480	39726	32528	340413	424450	213245	190935	79498	24973	11605	67384	108370	62779	54159	62295	56158	64977	54267	59657	49150	60126	44212	49067	40033	47203	34321	37278	29540	58337	44412	91036	61432	23048	9261	16617	30140	43958426347	4238738024	1089998	195121	1046848	238271	88981	229489	444182	99176	1477349	1282489	194860	1033306	146439	16384	281220	798607	483882	1344307	110516	9382	13144	987745	61291	165168	3326	5331	42348	4181	9507	3592
09	Connecticut	3287116	872211	1230243	2455622	145912	5250	680332	1591863	1695253	39667	97728	89721	43635	42182	124619	80172	75842	37953	38850	38482	40932	43099	48959	51044	48797	146471	286101	302084	266365	243395	201363	159125	145736	59219	89911	141974	115918	87051	55014	45707	294463	397466	223021	195192	83277	25283	11541	40314	79365	36306	31329	35821	35647	43203	35718	44714	38404	48352	35124	43430	36096	45470	34558	39900	32973	70780	59609	136955	113529	48624	20577	43445	41721	53288622702	12238120587	1013224	217019	985093	245150	94903	216447	413153	147708	1320850	1230479	90371	993369	60236	1913	265332	807559	422920	1026900	252669	37216	4065	323226	23595	185340	669328	4057	19957	360	2470	2146
10	Delaware	666168	176925	247163	459494	27844	6486	172344	323041	343127	8482	20503	19463	9576	9641	28182	18116	16718	8256	8285	7850	7935	9936	11531	11177	10881	31137	59868	59914	52359	47751	37780	30587	29604	11877	18089	29011	21158	14753	8789	6959	57070	80704	46323	38632	16490	5384	2560	10392	16313	9405	8675	9763	9544	10960	8837	10791	9314	11359	8662	10613	8169	10081	6971	8472	6214	12665	10476	22384	15880	5591	2145	3487	34875	9453445693	944622675	204751	42412	199690	47473	19377	46124	85316	26108	289919	247497	42422	180617	10945	2328	96029	173874	73623	220935	62267	6185	532	75467	16936	54071	95211	437	4258	82	581	454
11	District_of_Columbia	606900	123580	249034	606900	0	0	0	282754	324146	7125	15407	14084	6962	6257	18331	12594	11828	5369	5770	6062	6835	9540	13156	12838	10931	34680	63807	58970	50489	44495	34440	28208	25511	10006	15533	24972	20198	15670	9126	7706	102947	66926	33466	22570	11854	5429	5842	21687	19437	10286	7552	10554	9967	12710	9964	11020	8203	10792	6708	8719	6282	7447	5415	5927	5072	9583	7905	18401	16004	7520	4084	7795	30727	8889024307	2171340667	200230	48804	194657	54377	17001	38949	50411	17219	278489	249634	28855	278489	0	0	0	97085	152549	278190	151	30	118	158471	4931	51221	31122	76	65	136	1550	2062
12	Florida	12937926	3541308	5138360	10181184	789261	47436	1920045	6255078	6682848	142435	360984	339223	168773	164107	482570	307751	297904	144755	152172	150516	153310	161802	175756	171251	164178	513271	1049919	1083886	952312	855370	703892	604588	587269	256872	424417	743077	632169	484757	303054	205586	1300064	1935187	818060	637903	283803	100445	62898	315168	460392	274023	235705	277116	245527	279648	230213	253088	202570	238840	175494	195467	150512	175243	124555	132414	104144	202470	151197	306795	209795	81933	36482	79569	27483	164559327573	23080701442	3822751	1315609	3680773	1457587	678846	996998	1478100	387364	6100262	5134869	965393	4788608	399381	18279	893994	3453022	1681847	5298184	745506	49052	7520	384495	371704	4045573	210500	237	39491	3504	4253	75112
