Home Ownership
state 1900 1910 1920 1930 1940 1950 1960 1970 1980 1990
AL 34.4 35.1 35.0 34.2 33.6 49.4 59.7 66.7 70.1 70.5
AZ 57.5 49.2 42.8 44.8 47.9 56.4 63.9 65.3 68.3 64.2
AR 47.7 46.6 45.1 40.1 39.7 54.5 61.4 66.7 70.5 69.6
CA 46.3 49.5 43.7 46.1 43.4 54.3 58.4 54.9 55.9 55.6
CO 46.6 51.5 51.6 50.7 46.3 58.1 63.8 63.4 64.5 62.2
CT 39.0 37.3 37.6 44.5 40.5 51.1 61.9 62.5 63.9 65.6
DE 36.3 40.7 44.7 52.1 47.1 58.9 66.9 68.0 69.1 70.2
DC 24.0 25.2 30.3 38.6 29.9 32.3 30.0 28.2 35.5 38.9
FL 46.8 44.2 42.5 42.0 43.6 57.6 67.5 68.6 68.3 67.2
GA 30.6 30.5 30.9 30.6 30.8 46.5 56.2 61.1 65.0 64.9
ID 71.6 68.1 60.9 57.0 57.9 65.5 70.5 70.1 72.0 70.1
IL 45.0 44.1 43.8 46.5 40.3 50.1 57.8 59.4 62.6 64.2
IN 56.1 54.8 54.8 57.3 53.1 65.5 71.1 71.7 71.7 70.2
IA 60.5 58.4 58.1 54.7 51.5 63.4 69.1 71.7 71.8 70.0
KS 59.1 59.1 56.9 56.0 51.0 63.9 68.9 69.1 70.2 67.9
KY 51.5 51.6 51.6 51.3 48.0 58.7 64.3 66.9 70.0 69.6
LA 31.4 32.2 33.7 35.0 36.9 50.3 59.0 63.1 65.5 65.9
ME 64.8 62.5 59.6 61.7 57.3 62.8 66.5 70.1 70.9 70.5
MD 40.0 44.0 49.9 55.2 47.4 56.3 64.5 58.8 62.0 65.0
MA 35.0 33.1 34.8 43.5 38.1 47.9 55.9 57.5 57.5 59.3
MI 62.3 61.7 58.9 59.0 55.4 67.5 74.4 74.4 72.7 71.0
MN 63.5 61.9 60.7 58.9 55.2 66.4 72.1 71.5 71.7 71.8
MS 34.5 34.0 34.0 32.5 33.3 47.8 57.7 66.3 71.0 71.5
MO 50.9 51.1 49.5 49.9 44.3 57.7 64.3 67.2 69.6 68.8
MT 56.6 60.0 60.5 54.5 52.0 60.3 64.0 65.7 68.6 67.3
NE 56.8 59.1 57.4 54.3 47.1 60.6 64.8 66.4 68.4 66.5
NV 66.2 53.4 47.6 47.1 46.1 48.7 56.3 58.5 59.6 54.8
NH 53.9 51.2 49.8 55.0 51.7 58.1 65.1 68.2 67.6 68.2
NJ 34.3 35.0 38.3 48.4 39.4 53.1 61.3 60.9 62.0 64.9
NM 68.5 70.6 59.4 57.4 57.3 58.8 65.3 66.4 68.1 67.4
NY 33.2 31.0 30.7 37.1 30.3 37.9 44.8 47.3 48.6 52.2
NC 46.6 47.3 47.4 44.5 42.4 53.3 60.1 65.4 68.4 68.0
ND 80.0 75.7 65.3 58.6 49.8 66.2 68.4 68.4 68.7 65.6
OH 52.5 51.3 51.6 54.4 50.0 61.1 67.4 67.7 68.4 67.5
OK 54.2 45.4 45.5 41.3 42.8 60.0 67.0 69.2 70.7 68.1
OR 58.7 60.1 54.8 59.1 55.4 65.3 69.3 66.1 65.1 63.1
PA 41.2 41.6 45.2 54.4 45.9 59.7 68.3 68.8 69.9 70.6
RI 28.6 28.3 31.1 41.2 37.4 45.3 54.5 57.9 58.8 59.5
SC 30.6 30.8 32.2 30.9 30.6 45.1 57.3 66.1 70.2 69.8
SD 71.2 68.2 61.5 53.1 45.0 62.2 67.2 69.6 69.3 66.1
TN 46.3 47.0 47.7 46.2 44.1 56.5 63.7 66.7 68.6 68.0
TX 46.5 45.1 42.8 41.7 42.8 56.7 64.8 64.7 64.3 60.9
UT 67.8 64.8 60.0 60.9 61.1 65.3 71.7 69.3 70.7 68.1
VT 60.4 58.5 57.5 59.8 55.9 61.3 66.0 69.1 68.7 69.0
VA 48.8 51.5 51.1 52.4 48.9 55.1 61.3 62.0 65.6 66.3
WA 54.5 57.3 54.7 59.4 57.0 65.0 68.5 66.8 65.6 62.6
WV 54.6 49.5 46.8 45.9 43.7 55.0 64.3 68.9 73.6 74.1
WI 66.4 64.6 63.6 63.2 54.4 63.5 68.6 69.1 68.2 66.7
WY 55.2 54.5 51.9 48.3 48.6 54.0 62.2 66.4 69.2 67.8
