IDENT	LATITUDE	LONGITUDE	RUNWAY	LENGTH	WIDTH	ELEVATION	NAME
N37  	41.622667	74.701333	15-33	2080 	24   	1545 	Monticello
MSV  	41.701667	74.795000	15-33	6300 	150  	1450 	Sullivan County
SWF  	41.504167	74.104833	09-27	11818	150  	491  	Stewart
POU  	41.626667	73.884000	06-24	5001 	100  	166  	Dutchess County
HPN  	41.067000	73.707500	16-34	6548 	150  	439  	Westchester Count
ABE  	40.652333	75.440333	06-24	7600 	150  	399  	Lehigh Valley Int
MGJ  	41.510000	74.264667	03-21	5006 	100  	365  	Orange County
06N  	41.431500	74.393833	08-26	2797 	25   	200  	Randall
ALB  	42.748167	73.803000	01-19	7200 	150  	200  	Albany County
FZY  	43.350833	76.388000	15-33	5197 	100  	200  	Fulton County
FZY  	43.350833	76.388000	06-24	3996 	100  	200  	Fulton County
GFL  	43.341167	73.610333	01-19	5000 	150  	200  	Warren County
1B1  	42.291333	73.710333	03-21	5350 	75   	200  	Columbia County
N66  	42.524833	75.064500	06-24	4200 	75   	200  	Oneonta Muni
BED  	42.470000	71.289000	11-29	7001 	150  	200  	Hanscom
BVY  	42.584167	70.916500	09-27	5001 	150  	200  	Beverly Muni
LWM  	42.550500	71.123500	05-23	5001 	150  	200  	Lawrence Muni
BDR  	41.163500	73.126167	11-29	4761 	150  	200  	Sikorsky Mem
JFK  	40.639833	73.779000	13-31	14572	150  	13   	John F. Kennedy I
LGA  	40.777333	73.872667	04-22	7000 	150  	22   	La Guardia
FLU  	40.779333	73.832833	18-36	2800 	60   	22   	La Guardia
BOS  	42.364333	71.005167	15-33	10081	150  	20   	Logan Intl
EWR  	40.693000	74.168500	04-22	9300 	150  	18   	Newark Intl
CXY  	40.217167	76.851500	08-26	5001 	150  	347  	Capital City
PHL  	39.870333	75.245000	09-27	10499	200  	22   	Philadelphia Intl
BWI  	39.175333	76.668167	10-28	10502	200  	146  	Baltimore Washing
IAD  	38.944667	77.455833	01-19	11501	150  	313  	Washington Dulles
DCA  	38.852167	77.037667	18-36	6869 	150  	13   	Washington Nation
BGR  	44.807500	68.828167	15-33	11439	300  	192  	Bangor Intl
PWM  	43.646167	70.308667	11-29	6800 	150  	192  	Portland Intl
