CITY	LATITUDE	LONGITUDE	ELEVATION
Albuquerque, NM	35.071722	106.869722	5962
Amarillo, TX	35.247111	101.655667	3565
Ashburn, GA 	31.695444	83.750444	462
Atlanta, GA	33.894222	84.498583	1050
Benton, PA 	41.357417	76.293111	2380
Bucks, Harbor, ME	44.628056	67.394944	325
Arlington, IA	42.768278	91.615306	1260
Coopersville, MI	43.045583	85.992278	660
Buffalo, NY	42.638278	77.653056	2020
Cleveland, OH	41.302278	81.683528	1247
Cedar City, UT 	37.593000	112.863750	10690
Denver, CO	39.594167	104.693194	6197
Afton, OK 	36.410639	95.436361	959
Alexandria, LA 	31.314361	92.530694	86
Alexandria, LA	31.314361	92.530694	86
Citronelle, AL	31.039889	88.237611	325
Crossville, TN 	35.867583	84.894389	2825
Higby, WV	38.699722	81.532528	1100
Ashburn, GA	31.695444	83.750444	462
Charleston, SC	33.070028	80.220361	60
Amarillo, TX 	35.247111	101.655667	3565
Afton, OK	36.410639	95.436361	959
Borona, CA	35.082194	117.582278	3000
Cedar City, UT	37.593000	112.863750	10690
Afton, OK 	36.410639	95.436361	959
Citronella, AL 	31.039889	88.237611	325
Cocoa, FL	28.214056	80.598972	10
Cross City, FL 	29.743639	83.000778	65
Arlington, IA 	42.768278	91.615306	1260
Eagle River, WI	46.057611	89.338000	1820
Benton, PA	41.357417	76.293111	2380
Battle Mt, NV 	40.403194	116.867833	9640
Crescent City, CA	41.558889	124.085778	850
Ashton, ID	44.562556	111.444722	9880
Battle Mtn., NV	40.403194	116.867833	9640
Makah, WA	48.372278	124.676361	1463
Benton, PA 	41.357417	76.293111	2380
Binns Hall, VA	37.382833	76.998750	125
