CITY	LATITUDE	LONGITUDE	ELEVATION
Birmingham	33.573666	86.756721	775
Ft Rucker (Carns)	31.278805	85.720863	0
Huntsville	34.647026	86.786110	640
Mobile	30.690584	88.248413	200
Montgomery	32.388721	86.359970	160
Sierra Vista	31.580416	110.330643	0
Luke AFB	33.551029	112.384529	0
Phoenix	33.428333	111.999191	1120
Tucson (Davis)	32.160168	110.886719	2650
Yuma Intl	32.654167	114.591698	260
Fayetteville	35.977165	94.140305	0
Fort Smith	35.340611	94.352722	445
Little Rock	34.731945	92.212997	260
Bakersfield	35.441082	119.059830	510
Burbank	34.204113	118.362221	740
Camp Pendleton	33.287613	117.330612	0
Edwards (AFB)	34.872749	117.911446	2330
Fresno	36.780918	119.719360	332
Garden Grove	33.791973	118.002281	31
Long Beach	33.819138	118.138832	31
Los Angeles In	33.953693	118.407974	115
Los Angeles In	33.932362	118.406944	115
Marysville (AFB)	39.129917	121.461029	113
Monterey (Penin)	36.694695	121.757973	140
Mountain View	37.424526	122.014832	0
North Island NAS	32.703835	117.216331	0
Oakland Intl	37.706139	122.225334	3
Ontario Intl	34.052502	117.594330	0
Palm Springs	33.834805	116.506279	440
Sacramento (AFB)	38.674084	121.365501	110
San Diego	32.883278	117.143837	450
San Jose (Moffe)	37.424526	122.015114	10
Santa Ana	33.662804	117.713219	395
Santa Barbara	34.423973	119.842331	65
Stockton	37.899055	121.233498	25
Aspen	39.231556	106.883057	7729
Colorado Spr	38.817276	104.712303	6140
Denver (Intl)	39.854721	104.718307	0
Denver (Platteville	40.229862	104.718559	0
Denver (Staple)	39.760612	104.874138	5295
Pueblo (Memor)	38.295334	104.507278	4700
Windsor Locks	41.938557	72.682472	170
Cecil Field NAS	30.224167	81.869835	0
Daytona Beach	29.181110	81.064613	30
Fort Laud-Hwy	26.067806	80.152779	10
Ft Myers (SW FL)	26.544777	81.768890	20
Jacksonville	30.493668	81.692696	28
Jacksonville NAS	30.236917	81.674805	0
Miami	25.797777	80.292084	10
Orlando (Int)	28.394833	81.304642	75
Patrick AFB	28.232000	80.606110	0
