JHWY	INTERSECTION	TYPE	LATITUDE	LONGITUDE
j1	TIJ  	VOR     	32.534444	116.950556
j1	MZB  	VORTAC  	32.782194	117.225417
j1	OCN  	VORTAC  	33.240639	117.417722
j1	LAX  	VORTAC  	33.933139	118.432028
j1	FIM  	VORTAC  	34.356694	118.881278
j1	REYES	RPRT_PT 	34.658722	119.134306
j1	DERBB	RPRT_PT 	35.255917	119.641444
j1	AVE  	VORTAC  	35.646972	119.978611
j1	OAK  	VORTAC  	37.725917	122.223583
j1	RBL  	VORTAC  	40.098917	122.236361
j1	OED  	VORTAC  	42.479583	122.912972
j1	DREWS	RPRT_PT 	42.729056	122.889667
j1	BTG  	VORTAC  	45.747806	122.591528
j1	ALDER	RPRT_PT 	46.821556	122.414222
j1	SEA  	VORTAC  	47.435389	122.309611
j2	MZB  	VORTAC  	32.782194	117.225417
j2	GWIRE	RPRT_PT 	32.758694	115.906333
j2	IPL  	VORTAC  	32.748861	115.508583
j2	BZA  	VORTAC  	32.768139	114.602833
j2	MOHAK	RPRT_PT 	32.775861	113.972361
j2	GBN  	VORTAC  	32.956278	112.674278
j2	CIE  	VORTAC  	32.033389	109.758194
j2	ALIBY	RPRT_PT 	31.921361	107.778917
j2	ELP  	VORTAC  	31.815917	106.281889
j2	FIGMO	RPRT_PT 	31.590778	105.381861
j2	FST  	VORTAC  	30.952111	102.975722
j2	KEMPL	RPRT_PT 	30.720417	100.831833
j2	JCT  	VORTAC  	30.598028	99.817528
j2	LEJON	RPRT_PT 	30.112778	99.121944
j2	SAT  	VORTAC  	29.644028	98.461361
j2	IAH  	VORTAC  	29.956944	95.345722
j2	LCH  	VORTAC  	30.141500	93.105556
j2	BURBN	RPRT_PT 	30.463472	90.674472
j2	SJI  	VORTAC  	30.726000	88.359278
j2	CEW  	VORTAC  	30.826194	86.679139
j2	DEFUN	RPRT_PT 	30.814250	86.131417
j2	TP   	TRNG_PT 	30.793778	85.137333
j2	TLH  	VORTAC  	30.556167	84.373972
j2	CAPPS	RPRT_PT 	30.545333	83.905000
j2	TAY  	VORTAC  	30.504639	82.552917
j3	OAK  	VORTAC  	37.725917	122.223583
j3	RBL  	VORTAC  	40.098917	122.236361
j3	LKV  	VORTAC  	42.492861	120.507111
j3	IMB  	VORTAC  	44.648389	119.711639
j3	GEG  	VORTAC  	47.564944	117.626889
j3	EDGES	RPRT_PT 	48.964528	116.558889
j3	YXC  	VOR     	49.554944	116.087750
j4	LAX  	VORTAC  	33.933139	118.432028
j4	CIVET	RPRT_PT 	34.034417	117.390889
j4	RUSTT	RPRT_PT 	34.049167	117.240444
j4	PIONE	RPRT_PT 	34.094472	116.738806
j4	TNP  	VORTAC  	34.112222	115.769917
j4	PKE  	VORTAC  	34.102000	114.682083
j4	MESSI	RPRT_PT 	33.799806	113.803111
j4	BXK  	VORTAC  	33.453444	112.824583
j4	SSO  	VORTAC  	32.269250	109.263083
j4	EWM  	VORTAC  	31.951750	106.272389
j4	CONNE	RPRT_PT 	31.934222	105.329472
j4	INK  	VORTAC  	31.874778	103.243583
j4	ABI  	VORTAC  	32.481361	99.863444
j4	DFW  	VORTAC  	32.865917	97.028056
j4	JEFFO	RPRT_PT 	32.814417	94.951833
j4	EIC  	VORTAC  	32.771361	93.809917
j4	STAGE	RPRT_PT 	32.725056	93.048556
j4	JAN  	VORTAC  	32.507472	90.167583
j4	MEI  	VORTAC  	32.378444	88.804278
j4	MGM  	VORTAC  	32.222333	86.319722
j4	TP   	TRNG_PT 	33.640361	84.170472
j4	IRQ  	VORTAC  	33.707361	82.162056
j4	CAE  	VORTAC  	33.857250	81.053833
j4	FLO  	VORTAC  	34.232944	79.657111
j4	ILM  	VORTAC  	34.351611	77.874361
j5	LAX  	VORTAC  	33.933139	118.432028
j5	LANDO	RPRT_PT 	35.012444	118.616389
j5	EHF  	VORTAC  	35.484556	119.097306
j5	PINNI	RPRT_PT 	36.797833	119.272056
j5	TIOGA	RPRT_PT 	37.932944	119.428028
j5	SONNY	RPRT_PT 	38.335778	119.484528
j5	TILTS	RPRT_PT 	38.634750	119.526889
j5	FMG  	VORTAC  	39.531278	119.656083
j5	PYRAM	RPRT_PT 	39.893278	119.756000
j5	HARTT	RPRT_PT 	40.835861	120.021333
j5	LKV  	VORTAC  	42.492861	120.507111
j5	POWEL	RPRT_PT 	44.178750	121.086472
j5	SUMMA	RPRT_PT 	46.617861	121.988333
j5	SEA  	VORTAC  	47.435389	122.309611
j5	YVR  	VORTAC  	49.077333	123.149111
j6	SNS  	VORTAC  	36.663833	121.603194
j6	ROBIE	RPRT_PT 	35.981500	121.009500
j6	AVE  	VORTAC  	35.646972	119.978611
j6	LANDO	RPRT_PT 	35.012444	118.616389
j6	PMD  	VORTAC  	34.631417	118.063833
j6	HELDE	RPRT_PT 	34.704556	117.382556
j6	HEC  	VORTAC  	34.797028	116.462917
j6	EED  	VORTAC  	34.766000	114.474111
j6	DRK  	VORTAC  	34.702583	112.480250
j6	PYRIT	RPRT_PT 	34.869556	110.511417
j6	ZUN  	VORTAC  	34.965750	109.154500
j6	ABQ  	VORTAC  	35.043806	106.816306
j6	TCC  	VORTAC  	35.182139	103.598528
j6	AMA  	VORTAC  	35.287528	101.639306
j6	CRUSR	RPRT_PT 	35.350583	98.889417
j6	SERTS	RPRT_PT 	35.354250	98.869944
j6	IRW  	VORTAC  	35.358583	97.609222
j6	DWINE	RPRT_PT 	35.202694	96.169083
j6	KLUBB	RPRT_PT 	35.120222	95.466944
j6	KOMMA	RPRT_PT 	35.014611	94.677611
j6	LIT  	VORTAC  	34.677667	92.180500
j6	LAJUG	RPRT_PT 	36.612083	87.315944
j6	BWG  	VORTAC  	36.928722	86.443444
j6	RYANS	RPRT_PT 	37.387944	85.016944
j6	YOCKY	RPRT_PT 	37.654083	84.156222
j6	SPAYD	RPRT_PT 	38.193528	82.324389
j6	HVQ  	VORTAC  	38.349667	81.769917
j6	PERKS	RPRT_PT 	38.661333	80.174833
j6	COLNS	RPRT_PT 	38.840417	79.196889
j6	MRB  	VORTAC  	39.385583	77.848361
j6	FLIRT	RPRT_PT 	39.928861	76.703972
j6	LRP  	VORTAC  	40.119972	76.291306
j6	ELTEN	RPRT_PT 	40.181111	76.161667
j6	HOUTN	RPRT_PT 	40.337667	75.827333
j6	PARKE	RPRT_PT 	40.683194	75.076417
j6	BWZ  	VOR     	40.798444	74.821833
j6	SAX  	VORTAC  	41.067500	74.538333
j6	FLOSI	RPRT_PT 	41.543472	74.334139
j6	ALB  	VORTAC  	42.747278	73.803194
j6	LAMED	RPRT_PT 	43.447972	73.703833
j6	PLB  	VORTAC  	44.684972	73.522667
j7	LAX  	VORTAC  	33.933139	118.432028
j7	FIM  	VORTAC  	34.356694	118.881278
j7	REYES	RPRT_PT 	34.658722	119.134306
j7	DERBB	RPRT_PT 	35.255917	119.641444
j7	FRA  	VORTAC  	37.104417	119.595444
j7	GENNE	RPRT_PT 	38.715139	119.635222
j7	FMG  	VORTAC  	39.531278	119.656083
