VHWY	INTERSECTION	TYPE	LATITUDE	LONGITUDE
v1	CRG  	VORTAC  	30.338861	81.509944
v1	OCNOP	RPRT_PT 	30.862306	81.289083
v1	STARY	RPRT_PT 	31.276083	81.112583
v1	TYBEE	RPRT_PT 	31.837972	80.870278
v1	RUBYS	RPRT_PT 	32.145333	80.630500
v1	BASSO	RPRT_PT 	32.548806	80.312722
v1	ROOFS	RPRT_PT 	32.704583	80.189083
v1	CHS  	VORTAC  	32.894306	80.037806
v1	WANDO	RPRT_PT 	33.034278	79.840944
v1	CUBBY	RPRT_PT 	33.153778	79.672000
v1	KIMMY	RPRT_PT 	33.273083	79.502583
v1	INLET	RPRT_PT 	33.392750	79.331833
v1	PLANN	RPRT_PT 	33.558444	79.094083
v1	CRE  	VORTAC  	33.813833	78.724528
v1	ASHES	RPRT_PT 	34.080028	78.535750
v1	RAPEN	RPRT_PT 	34.321694	78.363167
v1	YOAST	RPRT_PT 	34.556333	78.194444
v1	LAYZE	RPRT_PT 	34.695722	78.093722
v1	WALLO	RPRT_PT 	34.876444	77.962500
v1	ISO  	VORTAC  	35.370944	77.558333
v1	ZAGGY	RPRT_PT 	35.799611	77.266944
v1	CVI  	VORTAC  	36.372917	76.871528
v1	DRONE	RPRT_PT 	36.529222	76.670833
v1	PSALM	RPRT_PT 	36.672833	76.485333
v1	DEEMS	RPRT_PT 	36.742083	76.395528
v1	ORF  	VORTAC  	36.891889	76.200333
v1	CCV  	VORTAC  	37.347528	75.997667
v1	FATOM	RPRT_PT 	37.513472	75.975778
v1	JAMIE	RPRT_PT 	37.605722	75.963556
v1	MAGGO	RPRT_PT 	37.983278	75.734639
v1	SBY  	VORTAC  	38.345000	75.510583
v1	ATR  	VOR     	38.809806	75.211333
v1	PEAPS	RPRT_PT 	39.041917	75.078917
v1	LEEAH	RPRT_PT 	39.260889	74.953111
v1	HOWIE	RPRT_PT 	39.582694	74.652778
v1	CRESI	RPRT_PT 	39.610889	74.626306
v1	CYN  	VORTAC  	39.817306	74.431611
v1	WHITE	RPRT_PT 	40.006750	74.251278
v1	DIXIE	RPRT_PT 	40.098917	74.163083
v1	JFK  	VOR     	40.632889	73.771389
v1	DPK  	VOR     	40.791778	73.303667
v1	BELTT	RPRT_PT 	41.063528	72.987083
v1	MAD  	VOR     	41.313861	72.692167
v1	HFD  	VOR     	41.641056	72.547639
v1	DVANY	RPRT_PT 	41.862389	72.303139
v1	GRAYM	RPRT_PT 	42.101194	72.031528
v1	BOSOX	RPRT_PT 	42.201889	71.627667
v1	WHYBE	RPRT_PT 	42.253861	71.416528
v1	BOS  	VORTAC  	42.357472	70.989556
v2	SEA  	VORTAC  	47.435389	122.309611
v2	VAMPS	RPRT_PT 	47.364917	121.980250
v2	BANDR	RPRT_PT 	47.258389	121.492250
v2	BEEZR	RPRT_PT 	47.124722	120.895583
v2	ELN  	VORTAC  	47.024389	120.458444
v2	PLUSS	RPRT_PT 	47.173778	119.550250
v2	MWH  	VOR     	47.210861	119.316806
v2	BATUM	RPRT_PT 	47.260667	119.087417
v2	GEG  	VORTAC  	47.564944	117.626889
v2	ROPES	RPRT_PT 	47.541389	117.136000
v2	HIPRR	RPRT_PT 	47.526167	116.839750
v2	MLP  	VOR     	47.456917	115.646056
v2	ALTON	RPRT_PT 	47.031917	114.428361
v2	MSO  	VOR     	46.907972	114.083639
v2	DRU  	VOR     	46.636083	113.186583
v2	GARRI	RPRT_PT 	46.626528	112.717389
v2	SCAAT	RPRT_PT 	46.621167	112.488667
v2	HLN  	VORTAC  	46.606833	111.953472
v2	SWEDD	RPRT_PT 	46.449583	111.544917
v2	CONNS	RPRT_PT 	46.268556	111.082111
