Name	1 Yr	3 Yr	5 Yr	10 Yr	Since Inception	Inception Date	Expense Ratio	Load Type	NTF Status	Net Assets MM	Net Assets Date	Inv. Objs.	Fund Symbol	Datenum
AIM Global Util A	21.05	16.62	10.37	0	13.05	01/18/88	1.17	front	N	165	10/31/97	Util	ASUTLX	32160
Alliance Tech A	24.98	33.57	32.06	16.47	21.11	03/01/82	1.74	front	N	611.2	10/31/97	Tech	ALTFX	30011
Cohen & Steers Realty	41.51	23.21	20.16	0	19.41	07/01/91	1.08	no load	Y	3191.6	10/31/97	RlEst	CSRSX	33420
Colonial Global Utilites A	17.87	12.68	9.88	0	10.27	10/15/91	1.38	front	N	162.3	10/31/97	Util	CGUAX	33526
Colonial Utilites A	15.47	15.61	8.9	9.81	10.74	08/03/81	1.2	front	N	304.9	10/31/97	Util	CUTLX	29801
Countrywide Utility A	11.31	12.3	9.15	0	9.96	08/15/89	1.25	front	N	35.6	10/31/97	Util	CUTAX	32735
EV Traditional Total Return	11.91	14.58	7.96	8.34	13.4	12/18/81	1.23	front	N	364.5	10/31/97	Util	EVTMX	29938
Evergreen Global RlEst Equity Y	7.55	1.07	10.41	0	4.8	02/01/89	1.65	no load	N	35.2	10/31/97	RlEst	EGLRX	32540
Federated Utility A	16.55	13.23	10.14	0	3.46	06/05/87	1.15	front	N	715.2	10/31/97	Util	LBUTX	31933
Fidelity RlEst Investment	44.1	22.91	17.67	13.84	12.72	11/17/86	0.9	red fee	Y	2375.9	10/31/97	RlEst	FRESX	31733
Fidelity Select Air Transportation	34.17	20.97	17	9.97	10.57	12/16/85	1.8	front,red	N	46.5	10/31/97	Unal.	FSAIX	31397
Fidelity Select Automotive	27.04	16.02	16.51	11.97	13.88	06/30/86	1.52	front,red	N	63.6	10/31/97	Unal.	FSAVX	31593
Fidelity Select Chemicals	20.5	17.75	18.43	13.19	18.97	07/29/85	1.81	front,red	N	71.1	10/31/97	Unal.	FSCHX	31257
Fidelity Select Computers	51.7	39.36	37.35	17.32	19.54	07/29/85	1.44	front,red	N	660	10/31/97	Tech	FDCPX	31257
Fidelity Select Construction&Housing	26.88	20.66	18.49	12.96	14.57	09/29/86	1.35	front,red	N	22.9	10/31/97	Unal.	FSHOX	31684
Fidelity Select Consumer Industries	29.7	22.66	18.21	0	17.29	06/29/90	2.44	front,red	N	17	10/31/97	Unal.	FSCPX	33053
Fidelity Select Defense & Aerospace	39.32	36.04	28.79	12.44	13.01	05/08/84	1.81	front,red	N	62.1	10/31/97	Unal.	FSDAX	30810
Fidelity Select Electronics	65.15	52.31	43.96	20.68	17.97	07/29/85	1.29	front,red	N	2549.1	10/31/97	Tech	FSELX	31257
Fidelity Select Environmental Services	19.93	17.13	11.51	0	7.94	06/29/89	2.11	front,red	N	26.3	10/31/97	Unal.	FSLEX	32688
Fidelity Select Food & Agriculture	25.63	22.02	17.54	17.28	20.43	07/29/85	1.5	front,red	N	218.8	10/31/97	Unal.	FDFAX	31257
Fidelity Select Industrial Equipment	35.17	25.7	26.07	10.82	13.8	09/29/86	1.44	front,red	N	51.5	10/31/97	Unal.	FSCGX	31684
Fidelity Select Leisure	25.28	21.13	21.55	13.55	19.04	05/08/84	1.54	front,red	N	152.6	10/31/97	Unal.	FDLSX	30810
